Vivado Simulator 2018.3
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb.uut.inst_rom_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_2 collision detected at time: 305000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 2525000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 4745000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 6965000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 9185000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 11405000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 13625000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 15845000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 18065000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 20285000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
blk_mem_gen_v8_4_2 collision detected at time: 22505000, Instance: tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1, B  read address: 1
